"ogc_fid","identifier","far_idx","cov_idx","align_idx","wall_idx","comp_idx","net_idx","age_idx","count11","k8cls","k8cls_sm3","k8cls_sm6","k8cls_sm9","wkb_geometry"
1,"8a390ca3130ffff",0.603492645514163,0.182297317138124,0.0213831748836467,0.0473871912551056,1.03986434663166,0.0250631815756604,55.0,6.0,2,3,3,3,"MULTIPOLYGON (((444482.17278707563 4470930.312847763, 444471.5800039862 4470852.354763436, 444401.6001950787 4470824.455591352, 444342.12846093165 4470874.404593901, 444352.72174331325 4470952.25151272, 444422.70138449676 4470980.26122317, 444482.17278707563 4470930.312847763)))"
2,"8a390ca31677fff",0.946065296702974,0.160699627910379,0.0137240153504149,0.0448515316444677,1.96842183651431,0.020014442352825,39.0,4.0,7,7,7,7,"MULTIPOLYGON (((444225.6666445863 4470017.090328822, 444215.07014170266 4469939.132676929, 444145.0800839567 4469911.124840625, 444085.6875192157 4469961.075115881, 444096.2853434688 4470039.032601248, 444166.27441108914 4470067.039977882, 444225.6666445863 4470017.090328822)))"
3,"8a390ca31757fff",1.2026991432899,0.196972915040611,0.00600933360845681,0.0546135336661608,1.00758395001466,0.0290303636527264,35.0,5.0,2,7,7,7,"MULTIPOLYGON (((444047.40742966963 4470166.941354184, 444036.8092435944 4470088.98391896, 443966.8198740629 4470060.97774548, 443907.4296807364 4470110.929466905, 443918.0291882276 4470188.8867356125, 443988.0175676249 4470216.89244941, 444047.40742966963 4470166.941354184)))"
4,"8a390ca324b7fff",1.33886553406656,0.161708872931484,0.00341775715824294,0.0804086800353008,1.40184723744445,0.0194216801763091,36.0,5.0,1,1,1,1,"MULTIPOLYGON (((439704.1003626554 4466956.426867343, 439693.53825121577 4466878.474753135, 439623.5023455352 4466850.50871131, 439564.0286469938 4466900.384246776, 439574.5929731201 4466978.447194519, 439644.7128119621 4467006.41209281, 439704.1003626554 4466956.426867343)))"
5,"8a390ca3291ffff",0.399934267853351,0.050709577630446,0.00137369502870871,0.00334538780185058,1.61982294093168,0.010483424293345,40.0,3.0,4,2,2,2,"MULTIPOLYGON (((439990.2233304227 4469061.356071611, 439979.5816593935 4468983.404044244, 439909.56627356535 4468955.435473075, 439850.1086493006 4469005.420069179, 439860.751642584 4469083.3719302, 439930.7660392558 4469111.340040689, 439990.2233304227 4469061.356071611)))"
6,"8a390ca32b6ffff",0.349033736235606,0.0462053970528977,0.00101017470881939,0.0448515316444677,0.597459084182305,0.0370380807725397,80.0,3.0,0,0,0,0,"MULTIPOLYGON (((441267.85907480755 4469203.443361144, 441257.3157573548 4469125.48898972, 441187.2217680489 4469097.509231708, 441127.8418806604 4469147.482976688, 441138.3865205635 4469225.437183147, 441208.4795191059 4469253.416479982, 441267.85907480755 4469203.443361144)))"
7,"8a390ca34127fff",2.67215601621825,0.514520792591611,0.00227015931851359,0.0670302625116159,2.55888435346411,0.00337869404778217,28.0,6.0,7,7,7,7,"MULTIPOLYGON (((439431.15333946777 4472745.258778014, 439420.5100257394 4472667.307090686, 439350.5264342876 4472639.343930176, 439291.0165335821 4472689.223291236, 439301.66117151675 4472767.174812075, 439371.644671762 4472795.248510393, 439431.15333946777 4472745.258778014)))"
8,"8a390ca34137fff",0.730319441738987,0.185693549454315,0.00178316683346433,0.0136482531025352,1.53002833476341,0.0164278102141002,100.0,3.0,4,4,4,4,"MULTIPOLYGON (((439350.5264342876 4472639.343930176, 439339.8821605579 4472561.392359109, 439269.8115191581 4472533.319628793, 439210.3870404537 4472583.3099302165, 439221.0326383682 4472661.2613348, 439291.0165335821 4472689.223291236, 439350.5264342876 4472639.343930176)))"
9,"8a390ca34b87fff",1.60992497220424,0.267257272346531,0.00616846394640859,0.0448515316444677,1.79100351944349,0.0230341548847045,31.0,4.0,7,7,7,7,"MULTIPOLYGON (((439931.99547713087 4473018.969364738, 439921.35769184906 4472941.016995566, 439851.3785825005 4472913.049199306, 439791.9533944606 4472963.034913361, 439802.50764966273 4473040.987797193, 439872.5706224221 4473068.954451632, 439931.99547713087 4473018.969364738)))"
10,"8a390ca366f7fff",1.3772155605206,0.156050825296566,0.00923161906622121,0.00444254188085455,1.5172887739423,0.0228379890817612,46.0,5.0,7,7,7,7,"MULTIPOLYGON (((439359.81608591194 4468809.441478329, 439349.2524718737 4468731.489613023, 439279.14740141894 4468703.5275636725, 439219.7758402525 4468753.405469563, 439230.34077688487 4468831.357170023, 439300.36085437937 4468859.430443016, 439359.81608591194 4468809.441478329)))"
